шлункова фаза соковиділення забезпечується не лише за рахунок нервової системи .	шлунковий фаза соковиділення забезпечуватися не лише за рахунок нервовий система .	ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG GEN;INAN;N;NEUT;SG 3;FIN;IND;IPFV;PRS;SG;V NEG;PART PART ACC;ADP ACC;INAN;MASC;N;SG ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG _
омонівці з одеси патрулювали всі центральні вулиці .	омонівець з одеса патрулювати весь центральний вулиця .	ANIM;MASC;N;NOM;PL ADP;GEN FEM;GEN;INAN;PROPN;SG FIN;IND;IPFV;PL;PST;V ACC;DET;INAN;PL ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
а інформація подається через численні політичні фільтри - політкоректність , недискримінація , боротьба з гомофобією , сексизмами , екстремізмом , націоналізмом і тому подібне .	а інформація подаватися через численний політичний фільтр - політкоректність , недискримінація , боротьба з гомофобія , сексизм , екстремізм , націоналізм і те подібне .	CONJ FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;ADJ;INAN;PL ACC;ADJ;INAN;PL ACC;INAN;MASC;N;PL _ FEM;INAN;N;NOM;SG _ FEM;INAN;N;NOM;SG _ FEM;INAN;N;NOM;SG ADP;INS FEM;INAN;INS;N;SG _ INAN;INS;MASC;N;PL _ INAN;INS;MASC;N;SG _ INAN;INS;MASC;N;SG CONJ DAT;INAN;NEUT;PRO;SG INAN;N;NEUT;NOM;SG _
минуло сто літ , — на могилах людей , що погинули від зарази , ярий моріг зеленів , а нащадки їх спокійно ходили по горах - полонинах , весело грали в сопілки , скликали незліченні отари .	минути сто літа , — на могила людина , що погинути від зараза , ярий моріг зеленіти , а нащадок вони спокійно ходити по гора - полонина , весело грати в сопілка , скликати незліченний отара .	FIN;IND;NEUT;PFV;PST;SG;V NOM;NUM GEN;INAN;N _ _ ADP;ESS ESS;FEM;INAN;N;PL ANIM;FEM;GEN;N;PL _ CONJ FIN;IND;PFV;PL;PST;V ADP;GEN FEM;GEN;INAN;N;SG _ ADJ;MASC;NOM;SG INAN;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V _ CONJ ANIM;MASC;N;NOM;PL 3;GEN;PL;PRO ADV FIN;IND;IPFV;PL;PST;V ADP;ESS ESS;FEM;INAN;N;PL _ ESS;FEM;INAN;N;PL _ ADV FIN;IND;IPFV;PL;PST;V ACC;ADP ACC;FEM;INAN;N;PL _ FIN;IND;IPFV;PL;PST;V ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _
коли мої діти були малими , ми з ними викопали з лісової дороги так багато малесеньких ялицевих проростків , що засадили ними цілу грядку біля хати .	коли мій дитина бути малий , ми з вони викопати з лісовий дорога так багато малесенький ялицевий проросток , що засадити вони цілий грядка біля хата .	ADV 1;DET;NOM;PL ANIM;FEM;N;NOM;PL FIN;IND;IPFV;PL;PST;V ADJ;INS;PL _ 1;ANIM;NOM;PL;PRO ADP;INS 3;INS;PL;PRO FIN;IND;PFV;PL;PST;V ADP;GEN ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG ADV ADV ADJ;GEN;PL ADJ;GEN;PL GEN;INAN;MASC;N;PL _ CONJ FIN;IND;PFV;PL;PST;V 3;INS;PL;PRO ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADP;GEN FEM;GEN;INAN;N;SG _
по личку її , сумному й жовтому , раз поз раз пробігали якісь смужки .	по личко її , сумний й жовтий , раз поз раз пробігати якийсь смужка .	ADP;ESS ESS;INAN;N;NEUT;SG 3;DET;ESS;NEUT;SG _ ADJ;ESS;NEUT;SG CONJ ADJ;ESS;NEUT;SG _ INAN;MASC;N;NOM;SG ACC;ADP ACC;INAN;MASC;N;SG FIN;IND;IPFV;PL;PST;V DET;NOM;PL FEM;INAN;N;NOM;PL _
він говорив мало , і більшість того , що він говорив , була або жартами і каламбурами , або страшенно дозованими фраґментами власного досвіду , котрі з’являлися як асоціації , що могли залежати лише від дуже персональної логіки ланцюга .	він говорити мало , і більшість те , що він говорити , бути або жарт і каламбур , або страшенно дозований фраґмент власний досвід , котрий з’являтися як асоціація , що могти залежати лише від дуже персональний логіка ланцюг .	3;MASC;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V ADV _ CONJ FEM;INAN;N;NOM;SG GEN;INAN;NEUT;PRO;SG _ CONJ 3;MASC;NOM;PRO;SG FIN;IND;IPFV;MASC;PST;SG;V _ FEM;FIN;IND;IPFV;PST;SG;V CONJ INAN;INS;MASC;N;PL CONJ INAN;INS;MASC;N;PL _ CONJ ADV ADJ;INS;IPFV;PASS;PL;V.PTCP INAN;INS;MASC;N;PL ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ DET;NOM;PL FIN;IND;IPFV;PL;PST;V CONJ FEM;INAN;N;NOM;PL _ CONJ FIN;IND;IPFV;PL;PST;V IPFV;NFIN;V PART ADP;GEN ADV ADJ;FEM;GEN;SG FEM;GEN;INAN;N;SG GEN;INAN;MASC;N;SG _
місцями густа , мов щітка , звичайна ліщина , височенні трави і бур’яни .	місцями густий , мов щітка , звичайний ліщина , височенний трава і бур’ян .	ADV ADJ;FEM;NOM;SG _ CONJ FEM;INAN;N;NOM;SG _ ADJ;FEM;NOM;SG FEM;INAN;N;NOM;SG _ ADJ;NOM;PL FEM;INAN;N;NOM;PL CONJ INAN;MASC;N;NOM;PL _
на диво , ми це не зможемо зробити , оскільки рука , що була в гарячій воді , відчуватиме холод , і навпаки , рука , що була в холодній воді , відчуватиме тепло .	на диво , ми це не змогти зробити , оскільки рука , що бути в гарячий вода , відчувати холод , і навпаки , рука , що бути в холодний вода , відчувати тепло .	ACC;ADP ACC;INAN;N;NEUT;SG _ 1;ANIM;NOM;PL;PRO ACC;INAN;NEUT;PRO;SG NEG;PART 1;FIN;FUT;IND;PFV;PL;V NFIN;PFV;V _ CONJ FEM;INAN;N;NOM;SG _ CONJ FEM;FIN;IND;IPFV;PST;SG;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG _ 3;FIN;FUT;IND;IPFV;SG;V ACC;INAN;MASC;N;SG _ CONJ ADV _ FEM;INAN;N;NOM;SG _ CONJ FEM;FIN;IND;IPFV;PST;SG;V ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;N;SG _ 3;FIN;FUT;IND;IPFV;SG;V ACC;INAN;N;NEUT;SG _
– не одержуючи ніяких стипендій , напівголодна , погано одягнена молодь могла цілими ночами " висіти " й бігати на конструкціях , репетируючи чергову постановку .	– не одержувати ніякий стипендія , напівголодний , погано одягнений молодь могти цілий ніч " висіти " й бігати на конструкція , репетирувати черговий постановка .	_ NEG;PART IPFV;PRS;V;V.CVB DET;GEN;PL FEM;GEN;INAN;N;PL _ ADJ;FEM;NOM;SG _ ADV ADJ;FEM;NOM;PASS;PFV;SG;V.PTCP FEM;INAN;N;NOM;SG FEM;FIN;IND;IPFV;PST;SG;V ADJ;INS;PL FEM;INAN;INS;N;PL _ IPFV;NFIN;V _ CONJ IPFV;NFIN;V ADP;ESS ESS;FEM;INAN;N;PL _ IPFV;PRS;V;V.CVB ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG _
посилання , яке не модифікується під час копіювання формули , називають абсолютним .	посилання , який не модифікуватися під час копіювання формула , називати абсолютний .	ACC;INAN;N;NEUT;SG _ DET;NEUT;NOM;SG NEG;PART 3;FIN;IND;IPFV;PRS;SG;V ACC;ADP ACC;INAN;MASC;N;SG GEN;INAN;N;NEUT;SG FEM;GEN;INAN;N;SG _ 3;FIN;IND;IPFV;PL;PRS;V ADJ;INS;NEUT;SG _
готовий виріб можна використовувати як картину , вставку тощо .	готовий виріб можна використовувати як картина , вставка тощо .	ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG ADV IPFV;NFIN;V CONJ ACC;FEM;INAN;N;SG _ ACC;FEM;INAN;N;SG PART _
ну , дарма , якось буде !	ну , дарма , якось бути !	PART _ ADV _ ADV 3;FIN;FUT;IND;IPFV;SG;V _
" нагадай , щоб забрали з повіту ленінський куток , — писав він , — сім карбованців я заплатив , лишається два з половиною .	" нагадати , щоб забрати з повіт ленінський куток , — писати він , — сім карбованець я заплатити , лишатися два з половина .	_ 2;FIN;IMP;PFV;SG;V _ CONJ FIN;IND;PFV;PL;PST;V ADP;GEN GEN;INAN;MASC;N;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ _ FIN;IND;IPFV;MASC;PST;SG;V 3;MASC;NOM;PRO;SG _ _ ACC;NUM GEN;INAN;MASC;N;PL 1;ANIM;NOM;PRO;SG FIN;IND;MASC;PFV;PST;SG;V _ 3;FIN;IND;IPFV;PRS;SG;V MASC;NOM;NUM ADP;INS FEM;INAN;INS;N;SG _
попросив , щоби вони самі вибрали мені якусь рибину , бо я не з-над моря .	попросити , щоби вони сам вибрати я якийсь рибина , бо я не з-над море .	FIN;IND;MASC;PFV;PST;SG;V _ CONJ 3;NOM;PL;PRO DET;NOM;PL;REFL FIN;IND;PFV;PL;PST;V 1;ANIM;DAT;PRO;SG ACC;DET;FEM;SG ACC;ANIM;FEM;N;SG _ CONJ 1;ANIM;NOM;PRO;SG NEG;PART ADP;GEN GEN;INAN;N;NEUT;SG _
однак 1762 року англійський ботанік джон гілл відніс цю рослину до роду cyanus , який 1754 був виділений філіпом міллером із роду centaurea .	однак 1762 рік англійський ботанік джон гілл віднести цей рослина до рід cyanus , який 1754 бути виділений філіп міллер із рід centaurea .	CONJ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG ADJ;MASC;NOM;SG ANIM;MASC;N;NOM;SG ANIM;MASC;NOM;PROPN;SG ANIM;MASC;NOM;PROPN;SG FIN;IND;MASC;PFV;PST;SG;V ACC;DET;FEM;SG ACC;FEM;INAN;N;SG ADP;GEN GEN;INAN;MASC;N;SG _ _ DET;MASC;NOM;SG GEN;INAN;MASC;N;SG FIN;IND;IPFV;MASC;PST;SG;V ADJ;MASC;NOM;PASS;PFV;SG;V.PTCP ANIM;INS;MASC;PROPN;SG ANIM;INS;MASC;PROPN;SG ADP;GEN GEN;INAN;MASC;N;SG _ _
вночі після снігопаду , коли птахи не спали , бо розпачали над гніздами з яйцями , засипаними снігом , « свобода » без жодних перешкод повідомила про жахливу ядерну катастрофу на західній україні .	вночі після снігопад , коли птах не спати , бо розпачати над гніздо з яйце , засипаний сніг , « свобода » без жодний перешкода повідомити про жахливий ядерний катастрофа на західний україна .	ADV ADP;GEN GEN;INAN;MASC;N;SG _ ADV ANIM;MASC;N;NOM;PL NEG;PART FIN;IND;IPFV;PL;PST;V _ CONJ FIN;IND;IPFV;PL;PST;V ADP;INS INAN;INS;N;NEUT;PL ADP;INS INAN;INS;N;NEUT;PL _ ADJ;INS;PASS;PFV;PL;V.PTCP INAN;INS;MASC;N;SG _ _ FEM;INAN;N;NOM;SG _ ADP;GEN DET;GEN;PL FEM;GEN;INAN;N;PL FEM;FIN;IND;PFV;PST;SG;V ACC;ADP ACC;ADJ;FEM;SG ACC;ADJ;FEM;SG ACC;FEM;INAN;N;SG ADP;ESS ADJ;ESS;FEM;SG ESS;FEM;INAN;PROPN;SG _
чоловіки повинні завжди носити брюки , а жінки повинні носити – панчохи .	чоловік повинний завжди носити брюки , а жінка повинний носити – панчоха .	ANIM;MASC;N;NOM;PL ADJ;NOM;PL ADV IPFV;NFIN;V ACC;INAN;N _ CONJ ANIM;FEM;N;NOM;PL ADJ;NOM;PL IPFV;NFIN;V _ ACC;FEM;INAN;N;PL _
у 2014 році з ініціативою стати інвестором реконструкції виступає roshen .	у 2014 рік з ініціатива стати інвестор реконструкція виступати roshen .	ADP;ESS ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG ADP;INS FEM;INAN;INS;N;SG NFIN;PFV;V ANIM;INS;MASC;N;SG FEM;GEN;INAN;N;SG 3;FIN;IND;IPFV;PRS;SG;V _ _
дзядзьо наливав його в екзотичні фляшки — кілька з них мали витиснений на склі імперський герб — відзнаку постачальника цісарсько - королівського двору — і складав лежма на полиці у найбільшій пивниці .	дзядзьо наливати воно в екзотичний фляшка — кілька з вони мати витиснений на скло імперський герб — відзнака постачальник цісарський - королівський двір — і складати лежма на полиця у найбільший пивниця .	ANIM;MASC;N;NOM;SG FIN;IND;IPFV;MASC;PST;SG;V 3;ACC;NEUT;PRO;SG ACC;ADP ACC;ADJ;INAN;PL ACC;FEM;INAN;N;PL _ DET;NOM ADP;GEN 3;GEN;PL;PRO FIN;IND;IPFV;PL;PST;V ACC;ADJ;INAN;MASC;PASS;PFV;SG;V.PTCP ADP;ESS ESS;INAN;N;NEUT;SG ACC;ADJ;INAN;MASC;SG ACC;INAN;MASC;N;SG _ ACC;FEM;INAN;N;SG ANIM;GEN;MASC;N;SG ADJ _ ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _ CONJ FIN;IND;IPFV;MASC;PST;SG;V ADV ADP;ESS ESS;FEM;INAN;N;SG ADP;ESS ADJ;ESS;FEM;RL;SG ESS;FEM;INAN;N;SG _
ця улиця йде вниз до руїн панянського католицького монастиря .	цей улиця йти вниз до руїна панянський католицький монастир .	DET;FEM;NOM;SG FEM;INAN;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V ADV ADP;GEN FEM;GEN;INAN;N;PL ADJ;GEN;MASC;SG ADJ;GEN;MASC;SG GEN;INAN;MASC;N;SG _
такий досвід поменшує її страх перед першим статевим актом та роздмухує інтерес до дальших пестощів .	такий досвід поменшувати її страх перед перший статевий акт та роздмухувати інтерес до дальший пестощі .	DET;MASC;NOM;SG INAN;MASC;N;NOM;SG 3;FIN;IND;IPFV;PRS;SG;V 3;ACC;DET;MASC;SG ACC;INAN;MASC;N;SG ADP;INS ADJ;INS;MASC;SG ADJ;INS;MASC;SG INAN;INS;MASC;N;SG CONJ 3;FIN;IND;IPFV;PRS;SG;V ACC;INAN;MASC;N;SG ADP;GEN ADJ;CMPR;GEN;PL GEN;INAN;N _
поїзди , які щось возили на зону , виглядали як пасажирські , але всі вікна були заслонені фіранками .	поїзд , який щось возити на зона , виглядати як пасажирський , але весь вікно бути заслонений фіранка .	INAN;MASC;N;NOM;PL _ DET;NOM;PL ACC;INAN;NEUT;PRO;SG FIN;IND;IPFV;PL;PST;V ACC;ADP ACC;FEM;INAN;N;SG _ FIN;IND;IPFV;PL;PST;V CONJ ADJ;NOM;PL _ CONJ DET;NOM;PL INAN;N;NEUT;NOM;PL FIN;IND;IPFV;PL;PST;V ADJ;NOM;PASS;PFV;PL;V.PTCP FEM;INAN;INS;N;PL _
так і в домовину ляжемо , а немає кому буде за нами щиро поплакати , немає кому буде й душі наші грішнії пом’янути !	так і в домовина лягти , а немати хто бути за ми щиро поплакати , немати хто бути й душа наш грішний пом’янути !	ADV PART ACC;ADP ACC;FEM;INAN;N;SG 1;FIN;FUT;IND;PFV;PL;V _ CONJ 3;FIN;IND;IPFV;NEG;PRS;SG;V ANIM;DAT;MASC;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V ADP;INS 1;ANIM;INS;PL;PRO ADV NFIN;PFV;V _ 3;FIN;IND;IPFV;NEG;PRS;SG;V ANIM;DAT;MASC;PRO;SG 3;FIN;FUT;IND;IPFV;SG;V PART ACC;FEM;INAN;N;PL 1;ACC;DET;INAN;PL ACC;ADJ;INAN;PL NFIN;PFV;V _
оскільки територія україни розташована переважно в помірному кліматичному поясі , буває важко за даними кліматодіаграми визначити тип клімату .	оскільки територія україна розташований переважно в помірний кліматичний пояс , бувати важко за дані кліматодіаграма визначити тип клімат .	CONJ FEM;INAN;N;NOM;SG FEM;GEN;INAN;PROPN;SG ADJ;FEM;NOM;PASS;PFV;SG;V.PTCP ADV ADP;ESS ADJ;ESS;MASC;SG ADJ;ESS;MASC;SG ESS;INAN;MASC;N;SG _ 3;FIN;IND;IPFV;PRS;SG;V ADV ADP;INS INAN;INS;N FEM;GEN;INAN;N;SG NFIN;PFV;V ACC;INAN;MASC;N;SG GEN;INAN;MASC;N;SG _
