brug den i tynde flager som gratinering af en ovnret eller i tern i salatskålen .	bruge den i tynd flage som gratinering af en ovnret eller i tern i salatskål .	IMP;V 3;ACC;MASC+FEM;PRO;SG ADP ADJ;PL INDF;MASC+FEM;N;PL ADP INDF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ ADP INDF;N;PL ADP DEF;MASC+FEM;N;SG _
trods politiets advarsler og afspærringer valfartede sydfynboer til havnen i faaborg for at få et glimt af branden .	trods politi advarsel og afspærring valfarte sydfynbo til havn i faaborg for at få en glimt af brand .	ADP DEF;GEN;N;NEUT;SG INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PST;V INDF;MASC+FEM;N;PL ADP DEF;MASC+FEM;N;SG ADP PROPN ADP PART ACT;NFIN;V DET;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG _
fastspændt i et seletøj til denne spil blev den 22-årige redder søren hansen hejst 25 meter ned i dybet for at undsætte den hårdt kvæstede dreng	fastspænde i en seletøj til denne spil blive den 22-årig redder søren hansen hejse 25 meter ned i dyb for at undsætte den hårdt kvæstet dreng	INDF;PST;SG;V;V.PTCP ADP DET;NEUT;SG INDF;N;NEUT;SG ADP _ INDF;N;NEUT;SG ACT;FIN;IND;PST;V DET;MASC+FEM;SG ADJ;DEF;SG INDF;MASC+FEM;N;SG PROPN PROPN INDF;PST;SG;V;V.PTCP NUM INDF;MASC+FEM;N;PL ADV ADP DEF;N;NEUT;SG ADP PART ACT;NFIN;V DET;MASC+FEM;SG ADV ADJ;DEF;SG INDF;MASC+FEM;N;SG
" af hensyn til vores egen sikkerhed .	" af hensyn til vores egen sikkerhed .	_ ADP INDF;N;NEUT;SG ADP 1;DET;PSSP ADJ;MASC+FEM;SG INDF;MASC+FEM;N;SG _
vi har lavet " chicism " , fordi vi gerne vil ud og turnere , stå på scenen og mærke det der sus .	vi have lave " chicism " , fordi vi gerne ville ud og turnere , stå på scene og mærke den der sus .	1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _ PROPN _ _ CONJ 1;MASC+FEM;NOM;PL;PRO ADV ACT;FIN;IND;PRS;V ADV CONJ ACT;NFIN;V _ ACT;NFIN;V ADP DEF;MASC+FEM;N;SG CONJ ACT;NFIN;V DET;NEUT;SG ADV INDF;N;NEUT;SG _
en forbrydelse - ikke i juridisk , men i moralsk forstand .	en forbrydelse - ikke i juridisk , men i moralsk forstand .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV ADP ADJ;INDF;SG _ CONJ ADP ADJ;INDF;SG INDF;MASC+FEM;N;SG _
heldigvis kan vi nøjes med at skulle kunne det den ene gang : lære verden at kende som den ser ud for mennesker på egnen hvor vi fødes .	heldigvis kunne vi nøjes med at skulle kunne det den ene gang : lære verden at kende som den se ud for menneske på egn hvor vi føde .	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PL;PRO ACT;NFIN;V ADP PART ACT;NFIN;V ACT;NFIN;V 3;ACC;NEUT;PRO;SG DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG _ ACT;NFIN;V INDF;MASC+FEM;N;SG PART ACT;NFIN;V ADP 3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V ADV ADP INDF;N;NEUT;PL ADP DEF;MASC+FEM;N;SG ADV 1;MASC+FEM;NOM;PL;PRO FIN;IND;PASS;PRS;V _
eva bad ham om at fordufte for bestandigt .	eva bede han om at fordufte for bestandigt .	PROPN ACT;FIN;IND;PST;V 3;ACC;MASC+FEM;PRO;SG ADP PART ACT;NFIN;V ADP ADV _
" i øret , " sagde jeg " men søde - i min alder ! - jeg kan ikke engang få den ind i munden mere , tror de jeg er akrobat ? "	" i øre , " sige jeg " men sød - i min alder ! - jeg kunne ikke engang få den ind i mund mere , tro de jeg være akrobat ? "	_ ADP DEF;N;NEUT;SG _ _ ACT;FIN;IND;PST;V 1;MASC+FEM;NOM;PRO;SG _ CONJ ADJ;DEF;SG _ ADP 1;DET;MASC+FEM;PSSS;SG INDF;MASC+FEM;N;SG _ _ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ACT;NFIN;V 3;ACC;MASC+FEM;PRO;SG ADV ADP DEF;MASC+FEM;N;SG ADV;CMPR _ ACT;FIN;IND;PRS;V 2;FORM;MASC+FEM;NOM;PRO 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG _ _
hverken i deres tragedie eller i deres triumf .	hverken i deres tragedie eller i deres triumf .	ADV ADP 3;DET;PSSP INDF;MASC+FEM;N;SG CONJ ADP 3;DET;PSSP INDF;MASC+FEM;N;SG _
boligydelsen udgør i 1992 93 1/3 % af forskellen mellem dit beregnede grænsebeløb og din husleje .	boligydelse udgøre i 1992 93 1/3 % af forskel mellem din beregne grænsebeløb og din husleje .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADP NUM NUM NUM _ ADP DEF;MASC+FEM;N;SG ADP 2;DET;NEUT;PSSS;SG DEF;PST;SG;V;V.PTCP INDF;N;NEUT;SG CONJ 2;DET;MASC+FEM;PSSS;SG INDF;MASC+FEM;N;SG _
dette og mange andre spørgsmål besvarer illustreret videnskabs eksperter	denne og mange anden spørgsmål besvare illustrere videnskab ekspert	DET;NEUT;SG CONJ ADJ;PL PL;PRO INDF;N;NEUT;PL ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP GEN;INDF;MASC+FEM;N;SG INDF;MASC+FEM;N;PL
vi har alt for travlt .	vi have alt for travlt .	1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V ADV ADV ADV _
sæt fadet i ovnen og steg blandingen samtidig med kødet .	sætte fad i ovn og stege blanding samtidig med kød .	IMP;V DEF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG CONJ IMP;V DEF;MASC+FEM;N;SG ADV ADP DEF;N;NEUT;SG _
hun afløser orla speyermann-petersson fra sillerup , der har ledet skolen i de sidste fire år .	hun afløse orla speyermann-petersson fra sillerup , der have lede skole i den sidste fire år .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V PROPN PROPN ADP PROPN _ PRO ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DEF;MASC+FEM;N;SG ADP DET;PL ADJ NUM INDF;N;NEUT;PL _
stenbiderrognen er faldet en anelse til 75-80 kr. pr. kg urenset .	stenbiderrogn være falde en anelse til 75-80 krone per kilo urenset .	DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP NUM INDF;MASC+FEM;N;PL ADP INDF;N;NEUT;SG ADJ;INDF;SG _
alle fyrene er vilde efter hende .	al fyr være vild efter hun .	ADJ;PL DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADJ;PL ADP 3;ACC;MASC+FEM;PRO;SG _
" realistisk set er det en mindre del af min karriere - tiden bliver mest brugt på mine egne koncerter og plader , men de andre får al publicityen ( latter ) .	" realistisk se være det en lille del af min karriere - tid blive mest bruge på min egen koncert og plade , men den anden få al publicity ( latter ) .	_ ADV INDF;PST;SG;V;V.PTCP ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG DET;MASC+FEM;SG ADJ;CMPR INDF;MASC+FEM;N;SG ADP 1;DET;MASC+FEM;PSSS;SG INDF;MASC+FEM;N;SG _ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV;RL INDF;PST;SG;V;V.PTCP ADP 1;DET;PL;PSSS ADJ;PL INDF;MASC+FEM;N;PL CONJ INDF;MASC+FEM;N;PL _ CONJ PL;PRO PL;PRO ACT;FIN;IND;PRS;V ADJ;MASC+FEM;SG DEF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG _ _
de øger butiksdøden .	de øge butiksdød .	3;NOM;PL;PRO ACT;FIN;IND;PRS;V DEF;MASC+FEM;N;SG _
men jeg prøver aldrig at gentage en form eller andet i et billede , som er lykkedes .	men jeg prøve aldrig at gentage en form eller anden i en billede , som være lykkes .	CONJ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV PART ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG CONJ NEUT;PRO;SG ADP DET;NEUT;SG INDF;N;NEUT;SG _ PRO ACT;FIN;IND;PRS;V PST;V;V.PTCP _
en historie , hvoraf man kan udlede at fædre , der har alt for travlt med at melde deres syv-årige sønner ind i en storklub , måske burde tænke på , at vore største fodboldnavne næsten alle er startet i en mindre klub .	en historie , hvoraf man kunne udlede at fader , der have alt for travlt med at melde deres syv-årig søn ind i en storklub , måske burde tænke på , at vores stor fodboldnavn næsten al være starte i en lille klub .	DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV MASC+FEM;NOM;PRO ACT;FIN;IND;PRS;V ACT;NFIN;V CONJ INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PRS;V ADV ADV ADV ADP PART ACT;NFIN;V 3;DET;PSSP ADJ;PL INDF;MASC+FEM;N;PL ADV ADP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ ADV ACT;FIN;IND;PST;V ACT;NFIN;V ADP _ CONJ 1;DET;PL;PSSP ADJ;DEF;RL INDF;N;NEUT;PL ADV ADJ;PL ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADP DET;MASC+FEM;SG ADJ;CMPR INDF;MASC+FEM;N;SG _
vi finder den anklagede brian rasmussen " , sagde hun højtideligt , ikke-skyldig i anklagepunkt et , i punkt to : ikke-skyldig , i punkt tre : ikke-skyldig , i punkt fire : ikke-skyldig . "	vi finde den anklage brian rasmussen " , sige hun højtideligt , ikke-skyldig i anklagepunkt en , i punkt to : ikke-skyldig , i punkt tre : ikke-skyldig , i punkt fire : ikke-skyldig . "	1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PRS;V DET;MASC+FEM;SG DEF;PST;SG;V;V.PTCP PROPN PROPN _ _ ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG ADV _ ADJ;INDF;MASC+FEM;SG ADP INDF;N;NEUT;SG NEUT;PRO;SG _ ADP INDF;N;NEUT;SG NUM _ ADJ;INDF;MASC+FEM;SG _ ADP INDF;N;NEUT;SG NUM _ ADJ;INDF;MASC+FEM;SG _ ADP INDF;N;NEUT;SG NUM _ ADJ;INDF;MASC+FEM;SG _ _
ved hjørnet af skoven .	ved hjørne af skov .	ADP DEF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG _
i de senere år er man blevet mere opmærksom på de urenheder , der opstår i dieselbrændstoftanke : i daglig tale " dieselpest " .	i den sen år være man blive mere opmærksom på den urenhed , der opstå i dieselbrændstoftank : i daglig tale " dieselpest " .	ADP DET;PL ADJ;CMPR INDF;N;NEUT;PL ACT;FIN;IND;PRS;V MASC+FEM;NOM;PRO INDF;PST;SG;V;V.PTCP ADV;CMPR ADJ;INDF;MASC+FEM;SG ADP DET;PL INDF;MASC+FEM;N;PL _ PRO ACT;FIN;IND;PRS;V ADP INDF;MASC+FEM;N;PL _ ADP ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ INDF;MASC+FEM;N;SG _ _
jeg får betalt 30 km kørsel med statens laveste takst , 1,15 kr. pr km. .	jeg få betale 30 kilometer kørsel med stat lav takst , 1,15 krone per kilometer .	1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP NUM INDF;MASC+FEM;N;PL INDF;MASC+FEM;N;SG ADP DEF;GEN;MASC+FEM;N;SG ADJ;DEF;RL INDF;MASC+FEM;N;SG _ NUM INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;SG _
johanniterbrødrene mødes på kronborg en gang om året i korsridderudstyr og med middelalderlige ceremonier for at mindes , at de repræsenterer en bevægelse , som går næsten 1.000 år tilbage i tiden .	johanniterbroder mødes på kronborg en gang om år i korsridderudstyr og med middelalderlig ceremoni for at mindes , at de repræsentere en bevægelse , som gå næsten 1.000 år tilbage i tid .	DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADP PROPN DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ADP INDF;N;NEUT;SG CONJ ADP ADJ;PL INDF;MASC+FEM;N;PL ADP PART ACT;NFIN;V _ CONJ 3;NOM;PL;PRO ACT;FIN;IND;PRS;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG _ PRO ACT;FIN;IND;PRS;V ADV NUM INDF;N;NEUT;PL ADV ADP DEF;MASC+FEM;N;SG _
de næste gange havde hun set på ham .	den næste gang have hun se på han .	DET;PL ADJ INDF;MASC+FEM;N;PL ACT;FIN;IND;PST;V 3;MASC+FEM;NOM;PRO;SG INDF;PST;SG;V;V.PTCP ADP 3;ACC;MASC+FEM;PRO;SG _
nu vil de også stemme i frankrig .	nu ville de også stemme i frankrig .	ADV ACT;FIN;IND;PRS;V 3;NOM;PL;PRO ADV ACT;NFIN;V ADP PROPN _
antallet at kilometer spiller også en rolle i valget af motorstørrelse .	antal at kilometer spille også en rolle i valg af motorstørrelse .	DEF;N;NEUT;SG _ INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG ADP INDF;MASC+FEM;N;SG _
- mine elskere er godt på vej til at gøre mig skizofren .	- min elsker være godt på vej til at gøre jeg skizofren .	_ 1;DET;PL;PSSS INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV ADP INDF;MASC+FEM;N;SG ADP PART ACT;NFIN;V 1;ACC;MASC+FEM;PRO;SG ADJ;INDF;MASC+FEM;SG _
henry heerup , berømt billedkunstner , har tegnet årets kunstnersmykke for smykkekæden .	henry heerup , berømt billedkunstner , have tegne år kunstnersmykke for smykkekæde .	PROPN PROPN _ ADJ;INDF;SG INDF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DEF;GEN;N;NEUT;SG INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG _
hvert eneste blad på hendes potteplanter sad på sin plads .	hver eneste blad på hendes potteplante sidde på sin plads .	NEUT;PRO;SG ADJ INDF;N;NEUT;SG ADP 3;DET;PSSS INDF;MASC+FEM;N;PL ACT;FIN;IND;PST;V ADP 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG _
" jeg tror tv-annonce-kampagner skader dansk rock meget .	" jeg tro tv-annonce-kampagne skade dansk rock meget .	_ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADJ;INDF;SG INDF;MASC+FEM;N;SG ADV _
duerne ved , hvordan der dufter hjemme , og hvis vinden bærer spor af duften mod duen , kan den bruge det til at vælge flyveretning .	due vide , hvordan der dufte hjemme , og hvis vind bære spor af duft mod due , kunne den bruge det til at vælge flyveretning .	DEF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V _ ADV ADV ACT;FIN;IND;PRS;V ADV _ CONJ CONJ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V INDF;N;NEUT;PL ADP DEF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _ ACT;FIN;IND;PRS;V 3;ACC;MASC+FEM;PRO;SG ACT;NFIN;V 3;ACC;NEUT;PRO;SG ADP PART ACT;NFIN;V INDF;MASC+FEM;N;SG _
far og datter har det svært med hinanden - og i dette tredje bind - vejen til peking - lykkes det da heller ikke at få bilagt striden .	far og datter have det svært med hinanden - og i denne tredje bind - vej til peking - lykkes det da heller ikke at få bilægge strid .	INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV ADP PL;PRO _ CONJ ADP DET;NEUT;SG ADJ INDF;N;NEUT;SG _ DEF;MASC+FEM;N;SG ADP PROPN _ ACT;FIN;IND;PRS;V 3;ACC;NEUT;PRO;SG ADV ADV ADV PART ACT;NFIN;V INDF;PST;SG;V;V.PTCP DEF;MASC+FEM;N;SG _
i de sidste seks år har hun været i behandling hos lænken .	i den sidste seks år have hun være i behandling hos lænke .	ADP DET;PL ADJ NUM INDF;N;NEUT;PL ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG INDF;PST;SG;V;V.PTCP ADP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG _
det er ikke forkert , når " sankt markus nat " bag på omslaget bliver kaldt en beretning om længslen efter at forstå det ubegribelige , om søgen efter det umulige , om overskridelse af grænsen for al menneskelig formåen .	det være ikke forkert , når " sankt markus nat " bag på omslag blive kalde en beretning om længsel efter at forstå den ubegribelig , om søge efter den umulig , om overskridelse af grænse for al menneskelig formå .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADJ;INDF;SG _ CONJ _ ADJ PROPN INDF;MASC+FEM;N;SG _ ADV ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP PART ACT;NFIN;V DET;NEUT;SG ADJ;DEF;SG _ ADP V;V.MSDR ADP DET;NEUT;SG ADJ;DEF;SG _ ADP INDF;MASC+FEM;N;SG ADP DEF;MASC+FEM;N;SG ADP ADJ;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG V;V.MSDR _
han har sagt , at sandheden aldrig er smuk , men at den tit er morsom .	han have sige , at sandhed aldrig være smuk , men at den tit være morsom .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP _ CONJ DEF;MASC+FEM;N;SG ADV ACT;FIN;IND;PRS;V ADJ;INDF;MASC+FEM;SG _ CONJ CONJ 3;ACC;MASC+FEM;PRO;SG ADV ACT;FIN;IND;PRS;V ADJ;INDF;MASC+FEM;SG _
" det er første gang , jeg har hørt så klar en melding fra socialdemokratiet , " siger hans stavnsager .	" det være første gang , jeg have høre så klar en melding fra socialdemokrati , " sige hans stavnsager .	_ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADJ INDF;MASC+FEM;N;SG _ 1;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V INDF;PST;SG;V;V.PTCP ADV ADJ;INDF;MASC+FEM;SG DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP DEF;N;NEUT;SG _ _ ACT;FIN;IND;PRS;V PROPN PROPN _
- hvad kom der ud af det med ham , der steg fra himlen ned , fangede i ham ?	- hvad komme der ud af det med han , der stige fra himmel ned , fange i han ?	_ PRO;SG ACT;FIN;IND;PST;V ADV ADV ADP 3;ACC;NEUT;PRO;SG ADP 3;ACC;MASC+FEM;PRO;SG _ PRO ACT;FIN;IND;PST;V ADP DEF;MASC+FEM;N;SG ADV _ ACT;FIN;IND;PST;V 2;MASC+FEM;NOM;PL;PRO 3;ACC;MASC+FEM;PRO;SG _
hvor henne ?	hvor henne ?	ADV ADV _
den skyldige	den skyldig	DET;MASC+FEM;SG ADJ;DEF;SG
jordnær rock'n'roll på den gammeldaws facon - ikke ulig john mellencamps " whenever we wanted " fra sidste år .	jordnær rock'n'roll på den gammeldaws facon - ikke ulig john mellencamp " whenever we wanted " fra sidste år .	ADJ;INDF;MASC+FEM;SG _ ADP DET;MASC+FEM;SG ADJ INDF;MASC+FEM;N;SG _ ADV ADJ;INDF;SG PROPN GEN;PROPN _ PROPN PROPN PROPN _ ADP ADJ INDF;N;NEUT;SG _
- da vi vågnede , gjorde bent noget enormt sødt .	- da vi vågne , gøre bent nogen enormt sød .	_ CONJ 1;MASC+FEM;NOM;PL;PRO ACT;FIN;IND;PST;V _ ACT;FIN;IND;PST;V PROPN DET;NEUT;SG ADV ADJ;INDF;NEUT;SG _
men han evner ikke at afbryde den søvnige og forbitrede kvinde .	men han evne ikke at afbryde den søvnig og forbitret kvinde .	CONJ 3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V ADV PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;DEF;SG CONJ ADJ;DEF;SG INDF;MASC+FEM;N;SG _
formål	formål	INDF;N;NEUT;SG
han blev synligt oplivet .	han blive synligt oplive .	3;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PST;V ADV INDF;PST;SG;V;V.PTCP _
nogle gange er den så dvælende , at det er lige før den går i stå .	nogen gang være den så dvæle , at det være lige før den gå i stå .	DET;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V 3;ACC;MASC+FEM;PRO;SG ADV PRS;V;V.PTCP _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV CONJ 3;ACC;MASC+FEM;PRO;SG ACT;FIN;IND;PRS;V ADP N _
" kritikken skyder forbi , " mener claus hagedorn-olsen .	" kritik skyde forbi , " mene claus hagedorn-olsen .	_ DEF;MASC+FEM;N;SG ACT;FIN;IND;PRS;V ADV _ _ ACT;FIN;IND;PRS;V PROPN PROPN _
det er jo næsten til at græde over ( eller give sin kæreste et ekstra kys , mens der endnu er tid , som i titelnummeret ) .	det være jo næsten til at græde over ( eller give sin kæreste en ekstra kys , mens der endnu være tid , som i titelnummer ) .	3;ACC;NEUT;PRO;SG ACT;FIN;IND;PRS;V ADV ADV ADP PART ACT;NFIN;V ADP _ CONJ ACT;NFIN;V 3;DET;MASC+FEM;PSSS;REFL;SG INDF;MASC+FEM;N;SG DET;NEUT;SG ADJ INDF;N;NEUT;SG _ CONJ ADV ADV ACT;FIN;IND;PRS;V INDF;MASC+FEM;N;SG _ ADP ADP DEF;N;NEUT;SG _ _
sas afviser	sas afvise	PROPN ACT;FIN;IND;PRS;V
fedtsyrerne deles op i mættede , fleurmættede og monoumættede typer .	fedtsyre dele op i mætte , flerumættet og monoumættet type .	DEF;MASC+FEM;N;PL FIN;IND;PASS;PRS;V ADV ADP PL;PST;V;V.PTCP _ ADJ;PL CONJ ADJ;PL INDF;MASC+FEM;N;PL _
ikke alle knapper sidder fornuftigt placeret .	ikke al knap sidde fornuftigt placere .	ADV ADJ;PL INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V ADV INDF;PST;SG;V;V.PTCP _
indirekte får jeg dog et svar i økonomichefens fortsatte brug af rent forretningsmæssige argumenter , for eksempel om indsamlingsvirksomheden .	indirekte få jeg dog en svar i økonomichef fortsætte brug af rent forretningsmæssig argument , for eksempel om indsamlingsvirksomhed .	ADV ACT;FIN;IND;PRS;V 1;MASC+FEM;NOM;PRO;SG ADV DET;NEUT;SG INDF;N;NEUT;SG ADP DEF;GEN;MASC+FEM;N;SG DEF;PST;SG;V;V.PTCP INDF;MASC+FEM;N;SG ADP ADV ADJ;PL INDF;N;NEUT;PL _ ADP INDF;N;NEUT;SG ADP DEF;MASC+FEM;N;SG _
- henne på jernbanebroen , du ved .	- henne på jernbanebro , du vide .	_ ADV ADP DEF;MASC+FEM;N;SG _ 2;MASC+FEM;NOM;PRO;SG ACT;FIN;IND;PRS;V _
næste skridt kunne være en accept af , at problemerne i hovedstadsområdet er specielle i forhold til ærøskøbing og sindal .	næste skridt kunne være en accept af , at problem i hovedstadsområde være speciel i forhold til ærøskøbing og sindal .	ADJ INDF;N;NEUT;SG ACT;FIN;IND;PST;V ACT;NFIN;V DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP _ CONJ DEF;N;NEUT;PL ADP DEF;N;NEUT;SG ACT;FIN;IND;PRS;V ADJ;PL ADP INDF;N;NEUT;SG ADP PROPN CONJ PROPN _
efter korstogene blev disse johanniterriddere forvist fra det hellige land og levede siden mange steder i europa , i næsten 300 år på malta , som de en tid også tog navn efter , malteserriddere .	efter korstog blive denne johanniterridder forvise fra den hellig land og leve siden mange sted i europa , i næsten 300 år på malta , som de en tid også tage navn efter , malteserridder .	ADP DEF;N;NEUT;PL ACT;FIN;IND;PST;V DET;PL INDF;MASC+FEM;N;PL INDF;PST;SG;V;V.PTCP ADP DET;NEUT;SG ADJ;DEF;SG INDF;N;NEUT;SG CONJ ACT;FIN;IND;PST;V ADV ADJ;PL INDF;N;NEUT;PL ADP PROPN _ ADP ADV NUM INDF;N;NEUT;PL ADP PROPN _ ADP 3;NOM;PL;PRO DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADV ACT;FIN;IND;PST;V INDF;N;NEUT;SG ADP _ INDF;MASC+FEM;N;PL _
på olieraffinaderier destilleres råolie i såkaldte destillationsanlæg .	på olieraffinaderi destillere råolie i såkaldt destillationsanlæg .	ADP INDF;N;NEUT;PL FIN;IND;PASS;PRS;V INDF;MASC+FEM;N;SG ADP ADJ;PL INDF;N;NEUT;PL _
forskellen på dansk og svensk produktion af kyllinger kan afdækkes blot med et enkelt blik ind gennem døren hos en svensk kyllingeproducent .	forskel på dansk og svensk produktion af kylling kunne afdække blot med en enkelt blik ind gennem dør hos en svensk kyllingeproducent .	DEF;MASC+FEM;N;SG ADP ADJ;INDF;SG CONJ ADJ;INDF;SG INDF;MASC+FEM;N;SG ADP INDF;MASC+FEM;N;PL ACT;FIN;IND;PRS;V NFIN;PASS;V ADV ADP DET;NEUT;SG ADJ;INDF;SG INDF;N;NEUT;SG ADV ADP DEF;MASC+FEM;N;SG ADP DET;MASC+FEM;SG ADJ;INDF;SG INDF;MASC+FEM;N;SG _
festen indledtes med et orienteringsløb med forskellige sjove opgaver undervejs .	fest indlede med en orienteringsløb med forskellig sjov opgave undervejs .	DEF;MASC+FEM;N;SG FIN;IND;PASS;PST;V ADP DET;NEUT;SG INDF;N;NEUT;SG ADP ADJ;PL ADJ;PL INDF;MASC+FEM;N;PL ADV _
svenskerne havde regnet med at få en ren finale , men det satte de to sidste års pondus-vinder jean-michel saive en stopper for , da han i semifinalen fortsatte sit flotte spil fra de indledende runder og vandt over appelgren med 21-15 , 21-10 .	svensker have regne med at få en ren finale , men det sætte den to sidste år pondus-vinder jean-michel saive en stopper for , da han i semifinale fortsætte sin flot spil fra den indlede runde og vinde over appelgren med 21-15 , 21-10 .	DEF;MASC+FEM;N;PL ACT;FIN;IND;PST;V INDF;PST;SG;V;V.PTCP ADP PART ACT;NFIN;V DET;MASC+FEM;SG ADJ;INDF;MASC+FEM;SG INDF;MASC+FEM;N;SG _ CONJ 3;ACC;NEUT;PRO;SG ACT;FIN;IND;PST;V DET;PL NUM ADJ GEN;INDF;N;NEUT;PL INDF;MASC+FEM;N;SG PROPN PROPN DET;MASC+FEM;SG INDF;MASC+FEM;N;SG ADP _ CONJ 3;MASC+FEM;NOM;PRO;SG ADP DEF;MASC+FEM;N;SG ACT;FIN;IND;PST;V 3;DET;NEUT;PSSS;REFL;SG ADJ;DEF;SG INDF;N;NEUT;SG ADP DET;PL PRS;V;V.PTCP INDF;MASC+FEM;N;PL CONJ ACT;FIN;IND;PST;V ADP PROPN ADP NUM _ NUM _
udsendes kl = 1630 oplæser = ceg	udsende klokke = 1630 oplæser = ceg	FIN;IND;PASS;PRS;V DEF;MASC+FEM;N;SG _ NUM INDF;MASC+FEM;N;SG _ PROPN
derefter vil han læse økonomi eller statsvidenskab og arbejde i udlandet .	derefter ville han læse økonomi eller statsvidenskab og arbejde i udland .	ADV ACT;FIN;IND;PRS;V 3;MASC+FEM;NOM;PRO;SG ACT;NFIN;V INDF;MASC+FEM;N;SG CONJ INDF;MASC+FEM;N;SG CONJ ACT;NFIN;V ADP DEF;N;NEUT;SG _
